# system = C6H6-gto
# path = examples/gwfn/C6H6/HF/cc-pVQZ/CBCS/Slater
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 42
# approximate step size = 0.05498
# optimized step size = 0.05490
# kinetic energy = 230.22309 +/- 0.12188
# kinetic energy KEI = 233.06447 +/- 0.11869
# step_size   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
   0.00510     0.95    0.95013     1.01085   0.99057   0.00005   1.00002    11.023
   0.01023     0.90    0.89967     1.00499   0.99815   0.00005   0.99992     2.766
   0.01539     0.85    0.84910     1.00223   1.01875   0.00102   1.00015     6.006
   0.02062     0.80    0.79958     1.00614   1.00715   0.00168   1.00020     2.559
   0.02593     0.75    0.74918     1.00491   1.01307   0.00296   0.99953     2.765
   0.03136     0.70    0.70001     1.00833   1.00413   0.00405   0.99921     1.820
   0.03693     0.65    0.65010     1.00861   1.01440   0.01016   1.00137     2.311
   0.04268     0.60    0.60019     1.00885   1.01147   0.01187   0.99989     1.372
   0.04865     0.55    0.55124     1.01146   1.00912   0.01750   0.99952     1.248
   0.05490     0.50    0.50155     1.01198   1.00586   0.02096   0.99712     0.994
   0.06148     0.45    0.45260     1.01412   1.00669   0.03145   1.00025     0.920
   0.06850     0.40    0.40427     1.01750   1.00426   0.04348   1.00043     0.924
   0.07607     0.35    0.35563     1.02018   0.99259   0.04701   1.00451     0.729
   0.08435     0.30    0.30683     1.02266   0.99091   0.06394   1.00061     0.653
   0.09363     0.25    0.25918     1.02798   0.98436   0.08578   0.98918     0.587
   0.10430     0.20    0.21002     1.03086   0.97517   0.09671   0.96838     0.488
   0.11716     0.15    0.16288     1.04015   0.95921   0.12508   0.94578     0.421
   0.13387     0.10    0.11258     1.04527   0.94704   0.15235   0.95237     0.373
   0.15952     0.05    0.06276     1.06199   0.91868   0.21515   0.85143     0.301
