# system = C2H2-gto
# path = examples/gwfn/C2H2/HF/cc-pVQZ/CBCS/Slater
# method = CBCS
# steps per point = 100000
# Performing time-step optimization.
# electrons = 14
# optimized step size = 0.09830
# step_size   target  acc_ratio  diffusion   corr_E  corr_err  corr_r2   corr_TD  variance  decorr  ms_indep  us_move  us_energy
   0.00914     0.95    0.94968    0.00003  1587.27    894.38  9594.78     29.96  10.86526     100    74.999    45.10     208.36
   0.01831     0.90    0.89772    0.00010   512.35    164.03  6633.93     43.33  17.08066     100    24.534    45.20     209.23
   0.02756     0.85    0.84381    0.00021   155.00     27.30  4345.60     48.28  18.02162      55     7.918    45.24     209.49
   0.03692     0.80    0.79304    0.00036    98.37     13.81  3653.65     14.08  15.41292      40     5.214    45.04     209.03
   0.04644     0.75    0.74135    0.00053    69.93      8.28  3194.72      2.35  17.37301      32     3.859    45.07     209.76
   0.05616     0.70    0.69294    0.00073    61.91      6.90  1987.11     18.73  16.26421      29     3.479    45.21     209.25
   0.06613     0.65    0.64272    0.00093    42.94      3.99  2687.73      2.65  14.27790      23     2.532    44.87     208.15
   0.07643     0.60    0.58990    0.00114    34.32      2.85  2233.59      7.16  18.09246      20     2.104    44.79     208.39
   0.08712     0.55    0.54158    0.00136    24.49      1.72  1204.59      9.83  27.15223      16     1.609    44.68     208.76
   0.09830     0.50    0.49526    0.00158    24.96      1.77  1389.26      2.29  15.30215      16     1.633    44.70     208.90
   0.11009     0.45    0.44602    0.00179    21.50      1.42  1833.67      3.95  16.71743      14     1.457    44.68     208.94
   0.12266     0.40    0.39927    0.00198    27.19      2.01   984.25      7.14  14.89176      17     1.744    44.66     208.65
   0.13621     0.35    0.34744    0.00212    20.19      1.29  1090.01      2.30  19.08231      14     1.387    44.59     209.50
   0.15105     0.30    0.30606    0.00229    28.55      2.16  2140.91      6.00  15.07485      17     1.809    44.53     209.15
   0.16765     0.25    0.26260    0.00242    66.07      7.61  1651.68      3.29  22.53229      31     3.642    44.63     210.00
   0.18677     0.20    0.21774    0.00248    39.66      3.54   927.96      6.19  15.11105      22     2.361    44.60     210.24
   0.20979     0.15    0.16406    0.00235    28.63      2.18  1617.99      3.39  17.69773      16     1.804    44.65     213.25
   0.23972     0.10    0.12227    0.00228    94.82     13.08  3218.74      5.25  19.32156      39     5.050    45.01     213.33
   0.28564     0.05    0.07506    0.00197    76.68      9.51  2036.29      4.28  14.23386      30     4.117    44.53     218.47
